Ward,Name,opening_hour,Opening time,Post_code,Address,Capacity,Capacity_integer
,West Hendon Centre - Age UK,1.5,,NW9 7EU,"West Hendon Centre, Gadsbury Close, Goldsmith Avenue, West Hendon, London, NW9 7EU",1.997327166,2
Bexley,Central Library,41,,DA6 7HJ,"Townley Road, ZipBexleyheath DA6 7HJ",54.5936092,55
,Crayford Library,33,,DA1 4FN,"176 Town Hall Square, ZipCrayford DA1 4FN",43.94119765,44
,Erith Library,32.5,,DA8 1SL,"100 Erith High Street, ZipErith DA8 1SL",43.27542193,43
,Sidcup Library,33.5,,DA14 6DS,"Sidcup Storyteller, 106 Sidcup High Street, ZipSidcup DA14 6DS",44.60697337,45
,Thamesmead Library,33,,SE2 9FA,"Thamesmead Library, The Nest, 3 Cygnet Square, ZipThamesmead SE2 9FA",43.94119765,44
,Welling Library,31.5,,DA16 3PA,"Bellegrove Road, ZipWelling DA16 3PA",41.94387048,42
,Christ Church,2,Thursday 10am to 12pm,DA6 7BT,"Christ Church, Bexleyheath Broadway, Bexleyheath, DA6 7BT",2.663102888,3
,Christ Church,4,Monday 9am to 1pm,DA14 6NJ,"Christ Church, Sidcup, Main Road, Bexley, DA14 6NJ",5.326205776,5
,St Augustine,3,Tuesday 11am to 2pm,DA8 2HX,"St Augustine, Slade Green ,Slade Green Road, Slade Green, DA8 2HX",3.994654332,4
,St John the Evangelist Church,11,,DA14 6BX,"St John the Evangelist Church, Church Road, Sidcup DA14 6BX",14.64706588,15
,St Paulinus,3,Saturday 9.30am to 12.30pm,DA1 4RL,"St Paulinus, Crayford, Perry Street, Crayford, DA1 4RL",3.994654332,4
,The Exchange,11,Thursday 11am to 7pm and Saturday 11am to 2pm.,DA8 1RS,"The Exchange, The Old Library, Walnut Tree Rd, Erith DA8 1RS",14.64706588,15
,The Holy Redeemer,6,"Tuesday 2 to 4pm (hot drinks, snacks, knit, natter and crochet), Wednesday 1pm to 3pm (hot drinks, cake, chat and art activities. Free WiFi and phone charging) and Friday 9am to 11am.",DA15 8JR,"The Holy Redeemer, Sidcup, 64 Days Lane, Sidcup, DA15 8JR",7.989308664,8
,Holy Trinity,28,Daily from 10am to 2pm.,DA15 9AE,"Holy Trinity, Lamorbey, Sidcup, Corner of Hurst Road & Half Way Street, Sidcup, DA15 9AE",37.28344043,37
,Blackfen Community Library,35.5,Tuesday to Friday 9.30am to 5pm and Saturday 9.30am to 3pm.,DA15 9LU,"Blackfen Community Library, 7 - 9 Blackfen Parade, Blackfen DA15 9LU",47.27007626,47
,Welling Salvation Army,4,Fridays 10am to 2pm,DA161TJ,"Welling Salvation Army, 124 Welling High Street, Welling, DA161TJ",5.326205776,5
,New Community Church,2.5,Wednesdays 9:30am to 12pm,DA157DU,"New Community Church, 24 Station Road, Sidcup, DA157DU",3.32887861,3
,United Reformed Church,8,"every Monday, Wednesday and Friday 10am to 12 midday at the United Reformed Church and Thursday 10am to midday in the Hall.",DA6 7DJ,"United Reformed Church, Geddes Place, Bexleyheath, DA6 7DJ",10.65241155,11
,The Salvation Army,12,"We invite you to our Warm Welcome Space open every Tuesday, Thursday and Friday between 10am and 2pm.",DA6 8NR,"The Salvation Army, Lion Road, Bexleyheath, DA6 8NR",15.97861733,16
Brent,St Laurence's Larder and Open Kitchen,7,,NW6 7BJ ,"Christ Church, Christchurch Avenue, London NW6 7BJ",9.320860108,9
,Ealing Road Library,49,,HA0 4BA,"Coronet Parade, Ealing Road, Wembley, HA0 4BA",65.24602075,65
,Harlesden Library,49,,NW10 8SE,"Craven Park Road, Harlesden, NW10 8SE",65.24602075,65
,Kilburn library,49,,NW6 6NN,"42 Salusbury Road, Kilburn, NW6 6NN",65.24602075,65
,Kingsbury library,49,,NW9 9HE,"Kingsbury Library, 522-524, Kingsbury Road, London",65.24602075,65
